,country,year,sector,emissions,emissions_change
411,Slovakia,2023,Energy,5506378.57,-26882.799999999814
397,Slovakia,2018,Industry,17025635.48,
400,Slovakia,2019,Industry,14804403.71,-2221231.7699999996
403,Slovakia,2020,Industry,13749035.65,-1055368.0600000005
406,Slovakia,2021,Industry,16158345.55,2409309.9000000004
409,Slovakia,2022,Industry,13383886.58,-2774458.9700000007
412,Slovakia,2023,Industry,13228340.77,-155545.81000000052
398,Slovakia,2018,Transport,2510851.2,
401,Slovakia,2019,Transport,2651080.03,140228.8299999996
404,Slovakia,2020,Transport,1632494.53,-1018585.4999999998
407,Slovakia,2021,Transport,2296296.72,663802.1900000002
410,Slovakia,2022,Transport,2169580.76,-126715.96000000043
413,Slovakia,2023,Transport,2099894.84,-69685.91999999993
414,Slovenia,2018,Energy,4951185.11,
417,Slovenia,2019,Energy,4720222.58,-230962.53000000026
420,Slovenia,2020,Energy,4655010.83,-65211.75
423,Slovenia,2021,Energy,4340030.58,-314980.25
426,Slovenia,2022,Energy,3532920.4,-807110.1800000002
429,Slovenia,2023,Energy,3428763.82,-104156.58000000007
415,Slovenia,2018,Industry,3228328.6799999997,
418,Slovenia,2019,Industry,3156451.82,-71876.85999999987
421,Slovenia,2020,Industry,3022839.8200000003,-133611.99999999953
424,Slovenia,2021,Industry,3028885.39,6045.569999999832
427,Slovenia,2022,Industry,2851780.0799999996,-177105.31000000052
430,Slovenia,2023,Industry,2656170.06,-195610.01999999955
416,Slovenia,2018,Transport,1001708.78,
419,Slovenia,2019,Transport,1010022.33,8313.54999999993
422,Slovenia,2020,Transport,755065.78,-254956.54999999993
425,Slovenia,2021,Transport,819605.61,64539.82999999996
428,Slovenia,2022,Transport,771793.28,-47812.32999999996
431,Slovenia,2023,Transport,736635.08,-35158.20000000007
432,Spain,2018,Energy,58579873.75,
435,Spain,2019,Energy,42975724.9,-15604148.850000001
438,Spain,2020,Energy,29826229.26,-13149495.639999997
441,Spain,2021,Energy,30295059.18,468829.91999999806
444,Spain,2022,Energy,41664553.17,11369493.990000002
447,Spain,2023,Energy,29735531.81,-11929021.360000003
433,Spain,2018,Industry,86362249.36,
436,Spain,2019,Industry,84120114.5,-2242134.8599999994
439,Spain,2020,Industry,75785450.41,-8334664.090000004
442,Spain,2021,Industry,80418178.64999999,4632728.239999995
445,Spain,2022,Industry,72203507.86,-8214670.789999992
448,Spain,2023,Industry,67445620.21000001,-4757887.649999991
434,Spain,2018,Transport,35511997.47,
437,Spain,2019,Transport,36920636.98,1408639.509999998
440,Spain,2020,Transport,25679723.84,-11240913.139999997
443,Spain,2021,Transport,30790138.71,5110414.870000001
446,Spain,2022,Transport,36723291.03,5933152.32
449,Spain,2023,Transport,37012521.4,289230.3699999973
450,Sweden,2018,Energy,6744818.13,
453,Sweden,2019,Energy,5676257.27,-1068560.8600000003
456,Sweden,2020,Energy,5322519.96,-353737.3099999996
459,Sweden,2021,Energy,6013130.46,690610.5
462,Sweden,2022,Energy,5706932.51,-306197.9500000002
465,Sweden,2023,Energy,5314482.9,-392449.6099999994
451,Sweden,2018,Industry,15910448.97,
454,Sweden,2019,Industry,15938287.41,27838.43999999948
457,Sweden,2020,Industry,13944413.03,-1993874.3800000008
460,Sweden,2021,Industry,15111854.66,1167441.6300000008
463,Sweden,2022,Industry,14733104.860000001,-378749.7999999989
466,Sweden,2023,Industry,14451310.379999999,-281794.4800000023
452,Sweden,2018,Transport,8429167.25,
455,Sweden,2019,Transport,8291156.71,-138010.54000000004
458,Sweden,2020,Transport,6059885.54,-2231271.17
461,Sweden,2021,Transport,6366489.98,306604.4400000004
464,Sweden,2022,Transport,7520293.01,1153803.0299999993
467,Sweden,2023,Transport,7828412.51,308119.5
